,"PLANTA: TODAS LAS PLANTAS
PROCESO: APOYO
AREA: SISTEMAS Y TELECOMUNICACIONES
",,,,,,,,,"Tipo: FTO
Código: FTO-SYT-19
Revisión: 00
Página: 1 
",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Formato de actualización de precios de compra.,,,,,,,,,#¡REF!,,
,,,,,,,,,,#¡REF!,,
,,,,,,,,,|,,,
COMPANY_CODE,DIVISION,PRICE_RECORD_NUMBER,CUSTOMER_NUMBER,WAREHOUSE,PART_CODE,SYS_CURRENCY_CODE,UNIT_PRICE,PRICE_CODE,DESCRPTION,VALID_FROM_DATE,VALID_TO_DATE,SALES_PRICE
id_compañia,id_division,numero_concecutivo,codigo_cliente,almacen,codigo_producto,moneda_contrato,unidad_medida_(kg),codigo_precio,descripcion,fecha_valida_desde,fecha_valida_hasta,precio
01,01,50,C010037,A5,TCC1-000-P,MXP,KG,PURATOS,CCPG-CLARA CONGELADA GOURMET ,01/03/2022,30/03/2022, 10.00 
01,01,51,C010037,A5,TCC1-000-P,MXP,KG,PURATOS,CCPG-CLARA CONGELADA GOURMET ,01/03/2022,30/03/2022, 10.00 
01,01,52,C010037,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET          ,01/03/2022,30/03/2022, 10.00 
01,01,53,C010037,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET          ,01/03/2022,30/03/2022, 10.00 
01,01,54,C010037,A5,TCY1-001-P,MXP,KG,PURATOS,YEMA CONG. CON SAL ,01/03/2022,30/03/2022, 10.00 
01,01,55,C010037,V5,TOA1-003-P,MXP,KG,PURATOS,DAAE-ALBUMINA ALTA ESPUMA,01/03/2022,30/03/2022, 10.00 
01,01,56,C010037,V5,TOH1-012-P,MXP,KG,PURATOS,HUEVO DESH ESPINACA,01/03/2022,30/03/2022, 10.00 
01,01,57,C010037,V5,TOH1-013-P,MXP,KG,PURATOS,HUEVO DESH CHORIZO,01/03/2022,30/03/2022, 10.00 
01,01,58,C010037,X5,ILH1-007-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,59,C010037,X5,ILH1-007-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,60,C010037,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,61,C010037,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,62,C010037,X5,TLH1-009-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,63,C010037,X5,TLH1-009-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,64,C010037,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,65,C010037,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,66,C010037,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE,01/03/2022,30/03/2022, 10.00 
01,01,67,C010037,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE,01/03/2022,30/03/2022, 10.00 
01,01,68,C010037,V5,TOY1-000-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70,01/03/2022,30/03/2022, 10.00 
01,01,69,C010042,V5,TOH1-018-P,MXP,KG,PURATOS,DHDE-HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
